FOV_cell_label,Event_time,Cell_number,cell_x,cell_y,slip_area
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,44,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,45,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,46,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,55,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,56,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,78,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,107,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,108,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,164,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,189,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,190,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,193,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,194,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,195,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,196,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,198,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,199,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,211,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,212,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,213,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,231,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,232,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,233,24.0,387.4375,253.49519230769232,slip1_area1
cancer_20210122_slip1_area1_long_acq_MCF10A_tgfbeta_long_acq_blue_0.02909_green_0.0672_1_cell_24,234,24.0,387.4375,253.49519230769232,slip1_area1
