Unnamed: 0,cell_id,event_time,event_length,event_amplitude,event_integrated,cell_x,cell_y,std,expt,stage,trial_string,Slip_Area,Cell_Number
8147,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_1,1421.0,10.0,-0.0133117594717075,-0.1110162043000894,175.43076923076924,61.581538461538464,0.0046225787330941,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,1
8148,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_3,3173.0,10.0,0.0088222101434072,0.0861955778111542,93.5122549019608,123.25490196078432,0.0049333934926654,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,3
8149,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_4,668.0,10.0,-0.0066228438954107,-0.0622193666118177,127.39348370927318,134.57894736842104,0.0037972435471766,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,4
8150,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_5,3370.0,10.0,-0.0095590513710299,-0.085674517262374,111.71111111111112,134.78412698412697,0.0044232343066862,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,5
8151,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_6,4488.0,18.0,0.0099375084097048,0.1608669577796606,144.72826086956522,135.375,0.0050250185565968,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,6
8152,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_6,4743.5,9.0,-0.0102413749249279,-0.0849071513474586,144.72826086956522,135.375,0.0050250185565968,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,6
8153,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_10,1815.0,16.0,-0.0041720869388557,-0.0614519364534882,319.6461538461538,158.18741258741258,0.0024079857287346,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,10
8154,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_10,2255.0,10.0,0.0042105660012066,0.0396617303421098,319.6461538461538,158.18741258741258,0.0024079857287346,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,10
8155,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_10,2796.5,13.0,-0.0043038820101349,-0.0533236290809416,319.6461538461538,158.18741258741258,0.0024079857287346,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,10
8156,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1_cell_14,4435.0,22.0,-0.0048097078066636,-0.0960816356842328,321.4753086419753,172.02469135802468,0.0027772736943662,BT474,none,cancer_cancer20220315_slip2_area1_long_acq_cancer20220315_slip2_area1_long_acq_blue_0.112_green_0.0673_BT474_1,slip2_area1,14
