Unnamed: 0,cell_id,event_time,event_length,event_amplitude,event_integrated,cell_x,cell_y,std,expt,stage,trial_string,Slip_Area,Cell_Number
1269,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_1,4040.0,14.0,0.0055117059482219,0.0637976710209162,233.04820261437908,79.01062091503267,0.0019310837887011,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,1
1270,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,1012.5,15.0,-0.0085867190949866,-0.1199413156894348,182.59290780141845,146.59574468085106,0.0045361977834588,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,4
1271,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_9,1275.0,8.0,0.005072204481386,0.0398478622490925,324.6293103448276,208.0977011494253,0.0026774686112613,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,9
1272,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_9,1399.5,19.0,0.0066100286481867,0.1077743006688627,324.6293103448276,208.0977011494253,0.0026774686112613,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,9
1273,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_9,3053.0,16.0,0.0106178042856466,0.138277387494407,324.6293103448276,208.0977011494253,0.0026774686112613,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,9
1274,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_20,631.5,19.0,0.0081522151511843,0.1318810750279297,218.535046728972,294.9053738317757,0.003522913515776,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,20
1275,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_24,4652.0,22.0,0.0100162032683643,0.1930235848555976,370.258531540848,324.93381592554294,0.0034926807274173,LT47D,none,cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area1,24
1276,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,1440.0,12.0,-0.0073519051988762,-0.0860855909273432,158.65396341463415,90.21036585365852,0.00512705266492,LT47D,none,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area2,4
1277,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,1467.0,14.0,-0.0084398346079275,-0.1088194437375915,158.65396341463415,90.21036585365852,0.00512705266492,LT47D,none,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area2,4
1278,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,1849.0,238.0,0.022029367186672,3.607704080460081,158.65396341463415,90.21036585365852,0.00512705266492,LT47D,none,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area2,4
1279,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_7,2695.5,39.0,0.0088948943331619,0.3012417776129747,320.7369863013699,121.47397260273972,0.0032773750558377,LT47D,none,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area2,7
1280,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_7,2739.0,24.0,0.0098981419681878,0.1752776526405652,320.7369863013699,121.47397260273972,0.0032773750558377,LT47D,none,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area2,7
1281,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_7,3894.5,37.0,0.0100366337772506,0.2668379810511407,320.7369863013699,121.47397260273972,0.0032773750558377,LT47D,none,cancer_cancer20220308_slip2_area2_long_acq_cancer20220308_slip2_area2_long_acq_blue_0.112_green_0.0673_LT47D_1,slip2_area2,7
