Unnamed: 0,cell_id,event_time,event_length,event_amplitude,event_integrated,cell_x,cell_y,std,expt,stage,trial_string,Slip_Area,Cell_Number
10375,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_23,1514.5,15.0,0.0045477859954847,0.056425193767412,276.87113951011713,65.68242811501598,0.0019934523668919,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,23
10376,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_23,1541.5,9.0,0.0031569473984025,0.0273639873051332,276.87113951011713,65.68242811501598,0.0019934523668919,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,23
10377,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_43,1323.0,12.0,0.0042802991050603,0.0461146443380842,341.5606012152223,131.54141349536297,0.002290513217859,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,43
10378,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_58,802.0,8.0,-0.0054938001891888,-0.0424907900269301,45.1452802359882,170.7197640117994,0.0031852670687431,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,58
10379,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_65,416.0,32.0,-0.0100342927361347,-0.2768024387431278,94.89736070381232,187.56891495601167,0.0058336908138779,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,65
10380,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_65,650.5,9.0,-0.0099621840963392,-0.0819068599471017,94.89736070381232,187.56891495601167,0.0058336908138779,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,65
10381,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_65,873.0,12.0,-0.0093199772907597,-0.1048114051810951,94.89736070381232,187.56891495601167,0.0058336908138779,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,65
10382,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_65,1307.0,14.0,0.0104705233999993,0.1357993546593667,94.89736070381232,187.56891495601167,0.0058336908138779,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,65
10383,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_78,720.0,14.0,-0.0063817596354761,-0.0833766939883375,117.42513576415826,215.94414274631492,0.003594250432996,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,78
10384,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1_cell_78,770.5,9.0,-0.0056707290470719,-0.0494076819766388,117.42513576415826,215.94414274631492,0.003594250432996,TTX_10um_washout,pre,cancer_20201218_slip1_area1_long_acq_long_acq_blue_0.0318_green_0.0772_heated_to_3_1,slip1_area1,78
